epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,411.986,1.50914,1.54137,0.02378,0.79245,0.7753,0.86611,0.47613,1.54782,0.83784,0.0334,0.000332698,0.000332698,0.0670629
2,779.797,1.39372,0.50275,0.02166,0.8839,0.88799,0.933,0.53755,1.43801,0.60939,0.03159,0.000656612,0.000656612,0.0340534
3,1144.57,1.34438,0.45449,0.02079,0.90554,0.89043,0.92924,0.5188,1.48931,0.58396,0.03179,0.000971097,0.000971097,0.00103459
4,1508.21,1.29452,0.42059,0.01982,0.90913,0.905,0.93727,0.51369,1.52718,0.56718,0.03205,0.000957571,0.000957571,0.000957571
5,1871.73,1.24153,0.38677,0.01886,0.9178,0.91843,0.94937,0.54419,1.44009,0.52307,0.03036,0.000943429,0.000943429,0.000943429
6,2235.68,1.1639,0.36321,0.01745,0.90044,0.89791,0.91966,0.47797,1.62551,0.56686,0.0354,0.000929286,0.000929286,0.000929286
7,2600.28,1.11692,0.34526,0.01661,0.91304,0.92633,0.95038,0.52123,1.55048,0.53329,0.03419,0.000915143,0.000915143,0.000915143
8,2964.49,1.04596,0.31962,0.01545,0.90596,0.90727,0.92504,0.52279,1.47978,0.54068,0.03097,0.000901,0.000901,0.000901
9,3329.12,1.01376,0.30697,0.01491,0.93237,0.92867,0.94948,0.5264,1.52177,0.51676,0.03259,0.000886857,0.000886857,0.000886857
10,3694,0.95214,0.2851,0.01384,0.92073,0.91627,0.93655,0.52897,1.4714,0.52495,0.03098,0.000872714,0.000872714,0.000872714
11,4059.24,0.92533,0.27877,0.01343,0.91301,0.92287,0.9447,0.55104,1.39754,0.5241,0.0301,0.000858571,0.000858571,0.000858571
12,4424.38,0.87113,0.26525,0.01248,0.90998,0.92359,0.9351,0.51447,1.50927,0.55908,0.03244,0.000844429,0.000844429,0.000844429
13,4788.69,0.83898,0.25919,0.012,0.89551,0.92117,0.93921,0.53986,1.44539,0.56889,0.03137,0.000830286,0.000830286,0.000830286
14,5153.19,0.80429,0.25046,0.01149,0.92338,0.92244,0.94189,0.54246,1.41288,0.55033,0.0306,0.000816143,0.000816143,0.000816143
15,5519.07,0.76937,0.23682,0.0109,0.92093,0.92459,0.94601,0.54213,1.43785,0.5341,0.03049,0.000802,0.000802,0.000802
16,5884.28,0.73984,0.22769,0.01048,0.91376,0.9044,0.94095,0.53506,1.46279,0.57258,0.03107,0.000787857,0.000787857,0.000787857
17,6249.42,0.71377,0.22228,0.01008,0.92982,0.91649,0.949,0.54745,1.43061,0.53694,0.03071,0.000773714,0.000773714,0.000773714
18,6614.22,0.6878,0.21268,0.00971,0.9213,0.91764,0.94158,0.53737,1.46541,0.57005,0.03099,0.000759571,0.000759571,0.000759571
19,6979.32,0.66054,0.20782,0.00927,0.91882,0.91153,0.94292,0.54121,1.44011,0.57482,0.03087,0.000745429,0.000745429,0.000745429
20,7344.17,0.63301,0.19999,0.00887,0.92049,0.92438,0.94363,0.55131,1.41961,0.57541,0.03058,0.000731286,0.000731286,0.000731286
21,7708.43,0.62611,0.19554,0.00876,0.91677,0.89796,0.93957,0.54307,1.42439,0.59276,0.03063,0.000717143,0.000717143,0.000717143
22,8073.56,0.60163,0.18931,0.00841,0.91232,0.91996,0.93643,0.54201,1.4144,0.5772,0.03039,0.000703,0.000703,0.000703
23,8438.21,0.57511,0.17947,0.00802,0.92762,0.92094,0.93532,0.54795,1.40974,0.59212,0.03053,0.000688857,0.000688857,0.000688857
24,8802.39,0.55031,0.17627,0.00769,0.91139,0.93337,0.93568,0.54852,1.41795,0.58683,0.03041,0.000674714,0.000674714,0.000674714
25,9166.05,0.54386,0.17688,0.00753,0.91103,0.93105,0.94192,0.54808,1.40495,0.58809,0.03013,0.000660571,0.000660571,0.000660571
